name,ra_h,ra_m,ra_s,dec_d,dec_m,dec_s
ngc269,0,48,22.03,-73,31,53.5
ngc270,0,50,32.52,-8,39,5.9
ngc271,0,50,41.86,-1,54,36.9
ngc272,0,51,25.16,35,49,18.3
ngc273,0,50,48.45,-6,53,8.5
ngc274,0,51,1.86,-7,3,25.0
ngc275,0,51,4.2,-7,4,0.0
ngc276,0,52,6.57,-22,40,48.5
ngc277,0,51,17.23,-8,35,48.6
ngc278,0,52,4.31,47,33,1.8
ngc279,0,52,8.95,-2,13,6.4
ngc280,0,52,30.26,24,21,2.1
ngc281,0,52,59.35,56,37,18.8
ngc282,0,52,42.15,30,38,20.6
ngc283,0,53,13.21,-13,9,50.0
ngc284,0,53,24.27,-13,9,31.9
ngc285,0,53,29.89,-13,9,38.6
ngc286,0,53,30.38,-13,6,46.0
ngc287,0,53,28.29,32,28,56.3
ngc288,0,52,47.45,-26,35,23.6
ngc289,0,52,42.36,-31,12,21.0
ngc290,0,51,14.18,-73,9,41.5
ngc291,0,53,29.92,-8,46,4.1
ngc292,0,52,44.78,-72,49,43.0
ngc293,0,54,15.96,-7,14,7.7
ngc294,0,53,4.71,-73,22,49.3
ngc295,0,59,32.28,31,47,53.0
ngc296,0,55,7.51,31,32,32.2
ngc297,0,54,58.94,-7,20,58.8
ngc298,0,55,2.35,-7,19,59.1
ngc299,0,53,24.07,-72,11,49.6
ngc300,0,54,53.48,-37,41,3.8
ngc301,0,56,18.35,-10,40,26.0
ngc302,0,56,25.31,-10,39,47.6
ngc303,0,54,54.71,-16,39,16.6
ngc304,0,56,6.02,24,7,36.8
ngc305,0,56,20.92,12,3,54.4
ngc306,0,54,14.18,-72,14,32.4
ngc307,0,56,32.58,-1,46,19.0
ngc308,0,56,34.22,-1,47,2.1
ngc309,0,56,42.66,-9,54,49.9
ngc310,0,56,47.98,-1,45,56.8
ngc311,0,57,32.73,30,16,50.7
ngc312,0,56,15.93,-52,46,57.7
ngc313,0,57,45.64,30,21,57.9
ngc314,0,56,52.41,-31,57,46.7
ngc315,0,57,48.88,30,21,8.8
ngc316,0,57,52.45,30,21,15.5
ngc317,0,57,39.7,43,47,47.0
ngc0317a,0,57,39.05,43,48,2.8
ngc0317b,0,57,40.45,43,47,32.1
ngc318,0,58,5.23,30,25,31.9
ngc319,0,56,57.6,-43,50,19.6
ngc320,0,58,46.53,-20,50,24.3
ngc321,0,57,39.23,-5,5,10.3
ngc322,0,57,10.01,-43,43,37.5
