name,ra_h,ra_m,ra_s,dec_d,dec_m,dec_s
pk313+02.1,14,16,54,-58,53,0
pk003+66.1,14,16,24,13,52,0
pk315+08.1,14,17,30,-52,26,0
pk316+08.1,14,18,12,-52,11,0
pk312-01.1,14,18,42,-63,7,0
pk311-06.1,14,19,0,-67,29,0
pk315+05.1,14,20,48,-55,28,0
pk314+02.1,14,21,18,-58,39,0
pk315+05.2,14,22,0,-55,3,0
pk319+15.1,14,22,30,-44,9,0
pk315-00.1,14,33,18,-60,50,0
pk316+00.1,14,38,18,-59,12,0
pk319+06.1,14,40,30,-52,35,0
pk315-01.1,14,41,18,-61,20,0
pk317+03.1,14,41,36,-56,15,0
pk316-01.1,14,46,18,-61,14,0
pk321+08.1,14,46,30,-50,24,0
pk315-04.1,14,52,36,-64,2,0
pk324+09.1,15,1,36,-48,21,0
pk318-02.1,15,4,12,-60,54,0
pk318-02.3,15,5,36,-60,49,0
pk321+02.1,15,5,18,-55,11,0
pk318-02.2,15,6,0,-61,22,0
pk321+02.2,15,5,54,-56,0,0
pk327+13.1,15,6,12,-43,0,0
pk318-03.1,15,8,48,-61,44,0
pk339+29.1,15,8,18,-23,14,0
pk321+02.3,15,9,24,-55,33,0
pk317-05.1,15,10,42,-64,40,0
pk321+01.1,15,12,0,-55,40,0
pk331+16.1,15,12,48,-38,7,0
pk327+10.1,15,16,48,-45,39,0
pk324+03.1,15,19,12,-53,10,0
pk313-12.1,15,21,12,-72,14,0
pk326+07.1,15,19,42,-49,0,0
pk323+02.1,15,22,18,-54,9,0
pk342+27.1,15,22,18,-23,38,0
pk322-00.1,15,23,42,-57,10,0
pk324+02.1,15,23,36,-53,52,0
pk085+52.1,15,21,42,52,22,0
pk325+04.2,15,24,54,-51,50,0
pk325+04.1,15,25,6,-51,20,0
pk325+03.1,15,25,30,-52,51,0
pk321-03.1,15,30,18,-61,1,0
pk322-02.1,15,34,12,-59,9,0
pk315-13.1,15,37,12,-71,55,0
pk323-02.1,15,38,0,-58,45,0
pk326+02.1,15,39,42,-52,37,0
pk324-01.1,15,41,54,-56,37,0
pk330+05.1,15,42,18,-47,41,0
pk335+12.1,15,43,6,-39,18,0
pk326+00.1,15,45,0,-54,2,0
pk322-05.1,15,47,36,-61,13,0
pk328+01.1,15,49,30,-52,30,0
pk323-04.1,15,50,30,-59,59,0
pk325-01.1,15,51,24,-56,21,0
pk330+04.1,15,51,12,-48,45,0
pk330+04.2,15,51,18,-48,26,0
pk322-06.1,15,52,12,-62,31,0
pk329+02.1,15,51,36,-51,31,0
pk326-01.2,15,53,0,-56,25,0
pk335+09.1,15,53,12,-41,51,0
pk331+03.1,15,53,24,-48,44,0
pk052+50.1,15,51,54,32,57,0
pk329+01.1,15,54,48,-51,23,0
pk320-09.1,15,56,0,-66,9,0
pk327-01.2,15,58,12,-55,42,0
pk325-04.1,15,59,6,-58,24,0
pk342+15.1,15,58,48,-32,1,0
pk327-02.1,16,0,0,-55,55,0
pk332+03.1,16,0,18,-48,15,0
pk327-01.1,16,1,0,-55,5,0
pk328-01.1,16,1,48,-54,53,0
pk341+13.1,16,1,18,-34,32,0
pk336+08.1,16,2,12,-41,33,0
pk340+12.1,16,3,24,-36,1,0
pk331+01.1,16,4,12,-50,50,0
pk064+48.1,16,4,24,40,41,0
pk332+01.1,16,7,0,-49,27,0
pk340+10.1,16,8,24,-37,9,0
pk331+00.1,16,9,0,-51,2,0
pk345+15.1,16,9,42,-30,55,0
pk328-02.1,16,10,42,-54,58,0
pk329-02.3,16,12,30,-54,24,0
pk025+40.1,16,11,42,12,4,0
pk342+10.1,16,13,0,-36,14,0
pk327-04.1,16,14,0,-57,0,0
pk343+11.1,16,13,24,-34,36,0
pk341+09.1,16,13,36,-38,0,0
pk329-02.1,16,14,24,-54,48,0
pk329-02.2,16,14,36,-54,58,0
pk326-06.1,16,15,42,-59,54,0
pk330-02.2,16,15,18,-53,51,0
pk336+04.1,16,15,6,-45,11,0
pk333+01.1,16,15,18,-49,13,0
pk346+14.1,16,14,54,-30,31,0
pk330-02.1,16,17,12,-53,32,0
pk331-01.1,16,17,12,-51,59,0
pk327-05.1,16,19,12,-57,59,0
pk341+08.1,16,19,12,-37,47,0
pk338+05.1,16,19,24,-42,15,0
pk331-02.1,16,22,12,-53,41,0
pk013+32.1,16,21,6,0,16,0
pk327-06.1,16,23,30,-58,19,0
pk346+12.1,16,23,18,-31,45,0
pk336+01.1,16,23,54,-46,42,0
pk330-03.1,16,24,24,-54,36,0
pk331-02.2,16,24,36,-53,23,0
pk331-03.1,16,27,54,-54,2,0
pk327-07.1,16,29,30,-59,10,0
pk047+42.1,16,27,30,27,54,0
pk332-03.1,16,29,48,-53,24,0
pk331-03.2,16,30,0,-54,10,0
pk337+01.1,16,30,24,-46,2,0
pk334-01.1,16,31,6,-50,26,0
pk341+05.1,16,31,30,-40,15,0
pk335-01.1,16,34,18,-49,21,0
pk346+08.1,16,34,6,-35,5,0
pk340+03.1,16,34,48,-42,4,0
pk332-04.1,16,35,24,-53,50,0
pk342+05.1,16,36,24,-39,52,0
pk331-05.1,16,37,42,-55,42,0
pk336-01.1,16,38,6,-48,43,0
pk333-04.1,16,39,36,-52,49,0
pk345+06.1,16,39,24,-36,34,0
pk339+00.1,16,41,30,-45,13,0
pk336-02.1,16,42,6,-49,45,0
pk061+41.1,16,40,18,38,42,0
pk344+04.1,16,42,30,-38,55,0
pk339+00.2,16,43,12,-46,1,0
pk326-10.1,16,44,42,-62,38,0
pk343+03.1,16,44,24,-40,4,0
pk000+17.1,16,43,54,-18,58,0
pk335-03.1,16,45,0,-51,13,0
pk339-00.1,16,45,18,-46,9,0
pk352+11.2,16,44,48,-28,4,0
pk043+37.1,16,44,30,23,48,0
pk345+04.1,16,46,42,-38,37,0
pk335-03.2,16,47,54,-50,42,0
pk335-04.1,16,48,42,-51,9,0
pk348+06.1,16,48,48,-35,1,0
pk347+05.1,16,48,54,-35,47,0
pk359+15.1,16,48,36,-21,1,0
pk344+03.1,16,49,30,-39,21,0
pk345+03.1,16,50,24,-39,8,0
pk351+09.1,16,50,18,-30,20,0
pk094+38.1,16,47,30,64,8,0
pk350+07.1,16,51,6,-32,23,0
pk344+02.1,16,51,36,-40,3,0
pk325-12.1,16,54,36,-64,15,0
pk342+00.1,16,53,30,-42,39,0
pk351+07.1,16,53,36,-31,41,0
pk345+03.2,16,54,24,-38,44,0
pk353+08.1,16,55,48,-29,51,0
pk342-00.1,16,56,36,-43,47,0
pk337-04.1,16,57,30,-49,47,0
pk344+00.1,16,57,24,-41,38,0
pk347+03.1,16,57,30,-37,6,0
pk348+04.1,16,57,54,-35,25,0
pk336-05.1,16,59,36,-51,42,0
pk321-16.1,17,1,18,-70,6,0
pk339-03.1,17,1,24,-47,45,0
pk349+04.1,17,1,6,-34,49,0
pk343-00.1,17,1,30,-43,6,0
pk000+12.1,17,1,36,-21,49,0
pk334-07.1,17,3,0,-53,56,0
pk351+05.1,17,2,24,-33,10,0
pk340-03.1,17,3,6,-47,0,0
pk351+04.1,17,3,48,-33,30,0
pk353+06.2,17,4,18,-30,53,0
pk347+01.1,17,4,36,-37,53,0
pk350+04.1,17,4,36,-33,59,0
pk345+00.1,17,5,12,-40,53,0
pk353+06.1,17,5,12,-30,32,0
pk343-01.1,17,5,36,-43,56,0
pk352+05.1,17,5,30,-32,32,0
pk336-06.1,17,6,18,-52,30,0
pk358+09.1,17,5,48,-25,25,0
pk342-02.1,17,6,24,44,13,0
pk010+18.2,17,5,42,-10,9,0
pk344-01.1,17,7,0,-42,41,0
pk354+06.1,17,7,0,-29,38,0
pk342-02.2,17,7,30,-44,23,0
pk351+03.1,17,7,24,-34,5,0
pk011+17.1,17,6,54,-9,47,0
pk358+09.2,17,7,48,-25,4,0
pk332-09.1,17,9,0,-56,55,0
pk358+08.1,17,8,24,-25,14,0
pk336-07.1,17,9,36,-52,13,0
pk345-01.1,17,10,24,-41,53,0
pk357+07.1,17,10,42,-27,9,0
pk334-09.1,17,11,42,-55,24,0
pk340-04.1,17,11,24,-47,25,0
pk357+07.2,17,11,12,-27,12,0
pk354+05.1,17,11,42,-30,29,0
pk344-01.2,17,12,24,-42,31,0
pk352+03.1,17,12,12,-32,38,0
pk358+07.2,17,12,36,-26,26,0
pk358+07.1,17,12,42,-25,44,0
pk354+04.4,17,12,54,-30,41,0
pk018+20.1,17,12,48,-3,16,0
pk349+01.1,17,13,48,-37,6,0
pk354+04.1,17,14,6,-31,19,0
pk009+14.1,17,14,6,-12,54,0
pk352+03.2,17,14,42,-33,24,0
pk355+04.2,17,15,0,-30,20,0
pk331-12.1,17,16,18,-59,29,0
pk075+35.1,17,13,48,49,17,0
pk354+04.3,17,15,54,-31,22,0
pk359+07.1,17,16,48,-24,59,0
pk356+05.1,17,17,24,-28,59,0
