name,ra_h,ra_m,ra_s,dec_d,dec_m,dec_s
sh2-294,7,16,34.3,-9,26,38
sh2-295,7,2,40.7,-11,27,42
sh2-296,7,5,48.0,-11,13,8
sh2-297,7,5,14.7,-12,20,4
sh2-298,7,18,38.0,-13,11,55
sh2-299,7,30,38.9,-15,17,34
sh2-300,7,31,2.8,-15,24,37
sh2-301,7,9,48.4,-18,28,43
sh2-302,7,31,41.0,-16,58,43
sh2-303,6,54,0.9,-22,25,31
sh2-304,6,43,26.3,-24,7,59
sh2-305,7,30,8.1,-18,31,31
sh2-306,7,30,36.4,-19,6,35
sh2-307,7,35,32.0,-18,45,13
sh2-308,6,54,8.9,-23,56,31
sh2-309,7,32,6.1,-19,25,47
sh2-310,7,13,2.7,-24,35,11
sh2-311,7,52,20.4,-26,26,28
sh2-312,8,59,8.9,-25,41,19
sh2-313,12,53,31.0,-22,51,35
