name,ra_h,ra_m,ra_s,dec_d,dec_m,dec_s
lbn715,02,20,42.4,+12,53,43
lbn716,03,26,12.6,+36,50,29
lbn717,04,36,50.1,+50,51,03
lbn718,03,31,14.5,+37,40,11
lbn719,03,31,14.4,+37,35,11
lbn720,03,34,15.1,+37,50,01
lbn721,03,35,15.5,+37,59,57
lbn722,04,40,49.4,+50,25,47
lbn723,08,07,18.6,+61,21,20
lbn724,04,03,29.7,+43,58,14
lbn725,03,11,01.7,+29,41,19
lbn726,03,13,02.5,+30,11,12
lbn727,08,06,15.3,+60,31,23
lbn728,08,27,08.6,+60,20,07
lbn729,08,22,09.8,+60,15,25
lbn730,02,26,41.9,+11,43,27
lbn731,04,20,33.9,+44,57,08
lbn732,08,08,12.7,+60,01,16
lbn733,08,07,11.7,+59,41,20
lbn734,03,26,05.7,+31,40,29
lbn735,04,21,32.8,+44,22,04
lbn736,04,03,23.5,+40,38,15
lbn737,04,48,45.5,+48,33,14
lbn738,03,48,15.2,+36,39,11
lbn739,05,07,52.0,+50,19,54
lbn740,03,27,04.9,+30,54,25
lbn741,03,29,05.7,+31,23,18
lbn742,04,44,40.7,+46,45,31
lbn743,02,55,50.6,+20,12,06
lbn744,04,45,40.8,+46,45,27
lbn745,04,58,45.1,+48,00,32
lbn746,03,29,03.8,+29,50,19
lbn747,04,55,43.3,+47,23,45
lbn748,03,51,13.8,+35,29,00
lbn749,03,39,07.8,+32,09,43
lbn750,05,49,00.7,+52,30,57
lbn751,05,43,59.0,+52,01,19
lbn752,04,01,17.2,+36,58,22
lbn753,02,55,48.8,+18,12,06
lbn754,04,55,40.9,+46,24,45
lbn755,04,51,39.0,+45,45,02
lbn756,04,01,16.6,+36,38,22
lbn757,03,52,11.9,+34,08,56
lbn758,03,44,08.3,+32,08,26
lbn759,05,05,41.3,+46,14,03
lbn760,06,06,59.7,+52,09,38
lbn761,03,39,04.0,+29,09,44
lbn762,02,59,48.2,+17,11,54
lbn763,03,12,51.5,+19,51,12
lbn764,05,58,52.4,+49,40,13
lbn765,05,58,50.6,+49,00,13
lbn766,04,31,17.6,+35,26,25
lbn767,04,31,17.6,+35,26,25
lbn768,05,17,32.8,+42,03,12
lbn769,05,27,35.4,+43,02,29
lbn770,03,45,58.5,+24,09,19
lbn771,03,45,58.5,+24,09,19
lbn772,03,45,58.5,+24,09,19
lbn773,03,42,56.6,+22,39,30
lbn774,03,55,00.8,+25,28,45
lbn775,04,03,02.8,+26,38,15
lbn776,03,52,59.0,+24,08,53
lbn777,04,05,02.6,+26,23,08
lbn778,05,26,30.2,+40,32,33
lbn779,04,01,00.8,+25,08,23
lbn780,05,11,24.7,+38,01,38
lbn781,05,19,26.7,+38,53,04
lbn782,04,19,06.0,+28,12,13
lbn783,05,13,23.6,+37,23,30
lbn784,05,13,23.6,+37,23,30
lbn785,04,22,06.5,+28,27,01
lbn786,04,13,02.2,+25,37,37
lbn787,05,23,22.5,+36,32,47
lbn788,04,27,03.7,+26,05,41
lbn789,05,38,24.8,+37,31,42
lbn790,07,57,37.0,+47,11,55
lbn791,05,14,17.9,+34,03,26
lbn792,04,48,10.0,+29,47,16
lbn793,04,31,04.6,+26,36,25
lbn794,05,25,20.8,+35,32,38
lbn795,05,17,18.6,+34,23,13
lbn796,05,18,18.0,+34,03,08
lbn797,05,35,22.3,+36,11,55
lbn798,04,59,11.7,+30,33,29
lbn799,04,23,00.2,+23,36,58
lbn800,04,28,01.8,+24,36,38
lbn801,08,05,34.0,+46,21,25
lbn802,05,38,21.8,+35,51,42
lbn803,05,39,21.8,+35,51,37
lbn804,05,28,18.9,+34,22,25
lbn805,05,42,22.4,+36,11,24
lbn806,04,38,04.4,+26,10,57
lbn807,05,22,17.1,+33,22,51
lbn808,05,41,21.8,+35,51,29
lbn809,05,07,12.4,+30,49,56
lbn810,05,31,18.7,+34,12,12
lbn811,07,58,33.3,+45,31,51
lbn812,04,32,01.6,+24,19,21
lbn813,04,40,03.9,+25,44,49
lbn814,04,26,59.6,+22,56,42
lbn815,04,36,01.7,+24,14,05
lbn816,04,32,59.9,+22,56,17
lbn817,04,21,55.3,+19,37,02
lbn818,05,39,13.2,+30,41,38
lbn819,04,27,54.5,+18,46,38
lbn820,02,49,30.7,-03,47,36
lbn821,04,30,53.8,+18,06,26
lbn822,05,39,09.1,+28,01,38
lbn823,06,04,13.1,+30,29,49
lbn824,06,04,12.7,+30,14,49
lbn825,06,04,12.6,+30,09,49
lbn826,05,51,07.8,+27,00,46
lbn827,05,52,07.8,+27,00,41
lbn828,04,13,44.4,+10,12,34
lbn829,03,59,40.4,+06,38,27
lbn830,05,39,02.4,+23,21,38
lbn831,04,15,42.9,+08,47,26
lbn832,04,15,42.9,+08,47,26
lbn833,05,35,00.6,+22,01,56
lbn834,04,15,42.2,+08,07,26
lbn835,03,59,38.7,+04,58,27
lbn836,04,01,37.5,+03,48,20
lbn837,05,40,58.4,+20,20,30
lbn838,05,01,49.9,+14,04,18
lbn839,04,02,36.9,+03,08,16
lbn840,06,19,02.4,+23,16,43
lbn841,06,21,02.7,+23,28,35
lbn842,04,32,41.4,+07,06,18
lbn843,06,09,00.2,+21,35,27
lbn844,06,17,01.3,+22,28,52
lbn845,06,23,02.0,+22,58,26
lbn846,04,39,41.7,+07,15,50
lbn847,04,40,41.9,+07,25,45
lbn848,05,14,48.8,+13,01,22
lbn849,04,32,40.1,+05,56,18
lbn850,05,17,49.3,+13,23,09
lbn851,05,17,49.3,+13,23,09
lbn852,04,33,40.1,+05,56,14
lbn853,04,00,33.8,+00,08,24
lbn854,06,09,58.7,+20,29,23
lbn855,06,07,56.3,+18,41,32
lbn856,03,12,25.6,-09,13,47
lbn857,05,21,47.0,+11,22,52
lbn858,06,11,55.5,+18,01,14
lbn859,06,12,55.4,+17,59,10
lbn860,04,55,39.8,+05,24,43
lbn861,03,59,29.8,-03,51,32
lbn862,06,08,52.7,+15,49,27
lbn863,06,08,52.6,+15,46,27
lbn864,06,08,52.5,+15,39,27
lbn865,05,32,45.4,+10,02,05
lbn866,05,21,43.4,+08,22,52
lbn867,05,21,43.4,+08,22,52
lbn868,05,06,40.6,+06,03,57
lbn869,05,18,42.7,+07,48,05
lbn870,03,28,25.0,-09,19,40
lbn871,05,18,41.9,+07,08,05
lbn872,05,17,41.7,+06,58,10
lbn873,06,09,50.6,+14,09,23
lbn874,06,10,50.1,+13,44,19
lbn875,06,15,50.7,+14,16,57
lbn876,06,14,50.2,+13,50,01
lbn877,06,09,48.9,+12,49,23
lbn878,05,44,44.5,+09,11,13
