name,ra_h,ra_m,ra_s,dec_d,dec_m,dec_s
ic5270,22,57,54.94,-35,51,29.0
ic5271,22,58,1.82,-33,44,32.0
ic5272,22,59,31.1,-65,11,36.7
ic5273,22,59,26.7,-37,42,10.4
ic5274,22,58,27.65,18,55,7.5
ic5275,22,58,39.46,18,51,45.1
ic5276,22,58,39.75,18,49,11.7
ic5277,23,1,59.25,-65,11,52.4
ic5278,23,0,15.84,-8,10,43.6
ic5279,23,3,2.62,-69,12,35.0
ic5280,23,3,50.15,-65,12,28.3
ic5281,23,2,23.49,27,0,23.0
ic5282,23,2,48.19,21,52,27.7
ic5283,23,3,18.0,8,53,37.0
ic5284,23,6,46.27,19,7,19.5
ic5285,23,6,58.94,22,56,11.3
ic5286,23,9,55.51,-68,15,11.2
ic5287,23,9,20.27,0,45,23.4
ic5288,23,11,44.22,-68,5,38.6
ic5289,23,11,16.96,-32,27,15.4
ic5289 ned01,23,11,17.2,-32,27,21.5
ic5289 ned02,23,11,17.3,-32,27,6.7
ic5290,23,12,53.26,-23,28,9.1
ic5291,23,13,39.58,9,14,29.5
ic5292,23,13,47.07,13,41,15.4
ic5293,23,14,44.64,25,8,26.2
ic5294,23,16,10.76,-42,35,5.1
ic5295,23,15,29.14,25,7,13.7
ic5296,23,15,43.78,25,5,40.3
ic5297,23,15,58.44,25,1,30.7
ic5298,23,16,0.7,25,33,24.1
ic5299,23,16,19.15,20,51,21.0
ic5300,23,16,34.09,20,49,42.4
ic5301,23,18,59.43,-69,33,43.6
ic5302,23,19,36.69,-64,34,5.8
ic5303,23,17,54.74,0,15,52.3
ic5304,23,18,52.55,-10,15,33.5
ic5305,23,18,6.22,10,17,59.5
ic5306,23,18,11.33,10,14,45.8
ic5307,23,18,22.03,10,14,8.7
ic5308,23,19,21.14,-42,15,24.6
ic5309,23,19,11.65,8,6,33.5
ic5310,23,20,47.64,-22,8,57.7
ic5311,23,20,37.75,17,16,26.9
ic5312,23,20,58.32,19,19,4.9
ic5313,23,22,0.9,-42,28,49.8
ic5314,23,21,8.54,19,18,40.4
ic5315,23,21,18.25,25,23,6.7
ic5316,23,21,54.11,21,12,9.2
ic5317,23,23,28.68,21,9,48.7
ic5318,23,24,6.96,-11,51,38.5
ic5319,23,24,48.96,13,59,47.5
ic5320,23,28,21.97,-67,45,37.0
ic5321,23,26,20.23,-17,57,23.0
ic5322,23,28,30.81,-67,45,40.8
ic5323,23,27,36.97,-67,48,55.7
ic5324,23,28,17.75,-67,49,16.9
ic5325,23,28,43.43,-41,20,0.5
ic5326,23,29,35.16,-28,49,52.2
ic5327,23,30,47.74,-13,29,7.6
ic5328,23,33,16.46,-45,0,57.5
ic5329,23,33,9.59,21,14,14.3
ic5330,23,33,26.33,-2,52,59.3
ic5331,23,33,24.82,21,7,48.2
ic5332,23,34,27.49,-36,6,3.9
ic5333,23,34,52.98,-65,23,45.7
ic5334,23,34,36.42,-4,32,3.3
ic5335,23,35,47.37,-67,23,49.1
ic5336,23,36,19.69,21,5,53.2
ic5336 ned01,23,36,18.72,21,5,58.1
ic5336 ned02,23,36,20.44,21,5,48.2
ic5337,23,36,25.03,21,9,2.0
ic5338,23,36,30.43,21,8,45.6
ic5339,23,38,5.27,-68,26,31.4
ic5340,23,38,32.35,-4,51,16.6
ic5341,23,38,26.82,26,59,6.4
ic5342,23,38,38.8,27,0,40.9
ic5343,23,39,22.37,-22,29,49.8
ic5344,23,39,15.84,-4,58,0.3
ic5345,23,39,32.23,-22,24,48.0
ic5346,23,41,6.33,24,56,59.3
ic5347,23,41,36.71,24,53,8.8
ic5348,23,44,59.24,-42,54,39.3
ic5349,23,46,22.83,-28,0,18.4
ic5349 ned01,23,46,22.7,-28,0,21.7
ic5349 ned02,23,46,23.09,-28,0,11.7
ic5350,23,47,14.63,-27,57,27.8
ic5351,23,47,18.93,-2,18,48.6
ic5352,23,47,19.9,-2,16,50.4
ic5353,23,47,28.59,-28,6,34.1
ic5354,23,47,28.34,-28,8,9.6
ic5355,23,47,15.29,32,46,57.9
ic5356,23,47,23.79,-2,21,4.5
ic5357,23,47,22.99,-2,18,2.4
ic5358,23,47,45.04,-28,8,26.7
ic5359,23,47,37.86,-2,19,0.0
ic5360,23,47,53.73,-37,3,31.2
ic5361,23,51,28.89,-13,22,53.7
ic5362,23,51,36.73,-28,21,54.2
ic5363,23,51,36.73,-28,21,54.2
ic5364,23,56,25.0,-29,1,24.0
ic5364 ned01,23,56,23.91,-29,1,25.3
ic5364 ned02,23,56,25.24,-29,1,24.2
ic5365,23,57,34.59,-37,1,29.6
ic5366,23,57,40.39,52,47,29.9
ic5367,23,58,38.91,22,26,56.7
ic5368,23,59,6.6,6,52,23.0
ic5369,23,59,50.54,32,42,8.5
ic5370,0,0,9.18,32,44,18.2
ic5371,0,0,14.78,32,49,55.2
ic5372,0,0,16.26,32,47,33.4
ic5373,0,0,28.81,32,46,56.5
ic5374,0,1,4.52,4,30,0.7
ic5375,0,1,4.77,4,32,26.2
ic5376,0,1,19.77,34,31,32.6
ic5377,0,2,5.4,16,35,25.0
ic5378,0,2,37.8,16,38,53.0
ic5378 ned01,0,2,37.9,16,38,37.6
ic5378 ned02,0,2,37.7,16,39,8.0
ic5379,0,2,40.7,16,36,1.0
ic5380,0,2,49.56,-66,11,11.5
ic5381,0,3,11.27,15,57,56.6
ic5382,0,3,26.2,-65,11,48.0
ic5383,0,3,48.8,16,0,51.0
ic5384,0,4,9.12,-11,59,2.0
ic5385,0,6,23.7,-0,4,36.0
ic5386,0,6,28.46,-3,42,58.1
